Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field ( when figure it out why),Custom field (BusinessValue),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time(h)),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (effect),Custom field (how to avoid),Custom field (reason),Custom field (solved time(actual)),Custom field (solved time(estimated)),Custom field (spokesperson(dev)),Custom field (spokesperson(mkt)),Custom field (when found (dev)),Custom field (when found (mkt)),Comment,Comment,Comment,Comment
新老用户皮肤0元购页面,KAC-889,21181,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,Fernando,Fernando,24/Nov/17 2:55 PM,27/Nov/17 10:25 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,,,,,,,,,,,,,,KAC-875,,,,0|i013bd:r,KAC——2017-11-27,,,,2.0,,,,,,,,,,,,,
前端——疯狂加息联调,KAC-899,21224,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,tina,tina,24/Nov/17 4:33 PM,27/Nov/17 9:34 AM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,,,,,0|i013n5:,KAC——2017-11-27,,,,1.0,,,,,,,,,,,,,
前端——运营希望24号重新上线打考拉活动，修改奖励和概率,KAC-870,21059,,Story,To Do,KAC,KActivity,software,admin,,,Low,,Fernando,Sandy,Sandy,23/Nov/17 12:02 PM,24/Nov/17 4:31 PM,27/Nov/17 12:34 PM,,,0,,,https://docs.google.com/spreadsheets/d/1yakEvaJJuIHiMDotFIYKLojg_TxB42UeBms-LnaU09I/edit#gid=2000172111,,Sandy,,,,,,,,,,,,,,,,,,0|i012r9:,KAC——2017-11-27,,,,6.0,,,,,,,,,,,,,
前端——为了提高活动的灵活性，活动上线&下线时间，奖励参数等在管理后台可配置,KAC-38,10647,,Story,To Do,KAC,KActivity,software,admin,,,Medium,,Fernando,tina,tina,29/Mar/17 3:10 PM,24/Nov/17 2:50 PM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,,,,,0|i0130d:,KAC——2017-11-27,,,,13.0,,,,,,,,,,,,,
11.29前端-VIP特权【2】-签到宝箱奖励翻倍—becky,KAC-818,20291,,Story,To Do,KAC,KActivity,software,admin,,,Medium,,Fernando,becky,becky,09/Nov/17 11:53 AM,24/Nov/17 11:52 AM,27/Nov/17 12:34 PM,,,0,,,"https://docs.google.com/spreadsheets/d/1ugCvSq9_CUmTwQhtjxYNb0F90CFcYMjnDY6ZyRF4oTA/edit#gid=1662815420

checklist(在P57-P87行)：
https://docs.google.com/spreadsheets/d/1Qqk6rh_s82hakFju0MAAwQ9vvY8K12B3RpXPA4STaVw/edit#gid=248360219",,becky,,,,,,,,,,,,,,,,,,0|i011eb:i,KAC——2017-11-27,,,,4.0,,,,,,,,,,,,,
借款企业收到放款之后，可以有合同签署,KINVEST-843,20839,,Story,In Progress,KINVEST,KINVEST,software,admin,,,Medium,,hank,hank,hank,20/Nov/17 9:59 AM,24/Nov/17 7:40 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|hzzxou:,sprint 11-27,,,,4.0,,,,,,,,,,,,,
"投资 -- 修复 选择平台,  部分平台无法显示出来, 输入名称也无法定位到该平台 bug",KINVEST-815,20501,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,13/Nov/17 4:09 PM,24/Nov/17 7:39 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 修复 选择平台,  部分平台无法显示出来, 输入名称也无法定位到该平台 bug",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:x,sprint 11-27,,,,2.0,,,,,,,,,,,,,
"投资 -- 去除 标的管理 利息显示, 单挑利息 汇总利息",KINVEST-863,21024,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,22/Nov/17 6:06 PM,24/Nov/17 7:38 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 去除 标的管理 利息显示, 单挑利息 汇总利息:
      eric: 这个P2P的note表不用看的  那个只是Nick统一以那个到期还本计算出来的 实际上没使用",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:zv,sprint 11-27,,,,2.0,,,,,,,,,,,,,
"投资 -- 优化 投资汇总 平台查询 数据排序方式, 使用代收本金进行排序",KINVEST-841,20823,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,18/Nov/17 11:42 PM,24/Nov/17 7:38 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 优化 投资汇总 平台查询 数据排序方式, 使用代收本金进行排序",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:zx,sprint 11-27,,,,2.0,,,,,,,,,,,,,
"投资 -- 修复 直投管理 查询 详情 无法访问图片url时, 无法关闭 详情窗口url",KINVEST-820,20548,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,14/Nov/17 6:01 PM,24/Nov/17 7:37 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 修复 直投管理 查询 详情 无法访问图片url时, 无法关闭 详情窗口url",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:y,sprint 11-27,,,,2.0,,,,,,,,,,,,,
投资-excel下载功能，身份证号与手机号码需要脱敏，除了root权限,KINVEST-637,18223,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,zack,zack,18/Sep/17 6:43 PM,24/Nov/17 7:36 PM,27/Nov/17 12:34 PM,,,0,,,,,Jolen,zack,,,,,,,,,,,,,KINVEST-16,,,,0|i013db:,sprint 11-27,,,,2.0,,,,,,,,,,"24/Nov/17 5:26 PM;Jolen;手机信息脱敏格式：135****4568
身份证号脱敏格式：4**************127
注：14个「*」",,,
dev可以在1000个标的没有上传影像资料时收到微信 报警,KINVEST-854,20935,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,hank,hank,21/Nov/17 11:58 AM,24/Nov/17 7:36 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i012gl:,sprint 11-27,,,,2.0,,,,,,,,,,,,,
投资后台可以有地方查询到新旧系统的累计交易额，区分企业借款、三农贷款和个人借款，以及贷款余额,KINVEST-799,20262,,Story,To Do,KINVEST,KINVEST,software,admin,,,High,,hank,hank,hank,08/Nov/17 4:01 PM,24/Nov/17 6:05 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i012f9:,sprint 11-27,,,,3.0,,,,,,,,,,,,,
本周总结 week summary,KINVEST-852,20915,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,hank,hank,20/Nov/17 6:37 PM,24/Nov/17 6:04 PM,27/Nov/17 12:34 PM,,,0,,,"整体状态为中
上周工作：
1、我来贷 上线还款业务 （以增加资产总量） (0.8)
2、智能-点晴 跟进上线跑量 （以增加资产总量） (0) 
3、融360 完成测试阶段,完成上线跑量 （以增加资产总量） (1)
4、信牛科技 跟进内部标代偿业务,完成上线跑量 （以增加资产总量） (1)
5、投哪网	跟进投哪网测试 （以增加资产总量） (1)
6、投资后台按时间 重建，（以方便修复更改规则的数据） (1)
7、对接p2p代偿接口，完善投资后台代偿方式的收支管理 （以减轻考拉资金压力，减轻清算对账压力）(1)

本周重点
- 投哪网 上线测试内部标, 以增加资产总量 (Rowland)
- 什马金融 完成文档沟通与总体设计，以上线该平台，增加资产量 (Alex)
- 钱兔 完成文档沟通与总体设计，以上线该平台，增加资产量 (Rowland)
- 保证签章签署成功，修复历史签署失败的问题，以保证合同数据正确性(White)
- 各平台可以配置不同时间进行批量扣款，以保证平台对接稳定性 (Alex)
- 合作企业可以在投资后台修改企业信息，以保证达飞可以修改自己错误的信息(Alex)

",,hank,,,,,,,,,,,,,,,,,,0|hzzxpu:,sprint 11-27,,,,1.0,,,,,,,,,,,,,
"投资 -- 为 直投管理 风控 添加 查询功能, 标的名称, 标的id 等等",KINVEST-825,20580,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,15/Nov/17 10:49 AM,24/Nov/17 5:31 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 为 直投管理 风控 添加 查询功能, 标的名称, 标的id 等等",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:z,sprint 11-27,,,,1.0,,,,,,,,,,,,,
